point	Offense	Defense
1		11P
1	99pu	
1	27	
1	45	
1	27	
1	90	
1	9	
1	88	
1	27g	
2		15P
2	4pu	
2	'00	
2	1	
2		5D
2		15PU
2		23
2		1
2		23
2	00HB	
2	13PU	
2		5D
2		15PU
2		1
2		5
2		6
2		24
2		15TD
2	4PU	
2		15to
2		99PU
2		9
2		45G
3		61P
3	00PU	
3	13	
3	3	
3	'00	
3	77TD	
3		19PU
3		17
3		21
3		24
3		19
3		61
3		1
3		19
3		1
3	13PU	
3	'00	
3	13	
3	1	
3	3	
3	4	
3	13Gl	
4		43P
4	99PU	
4	45	
4	9	
4	45	
4		14PU
4		18
4		43
4		29
4	90pu	
4	99	
4	32	
4	99	
4	32	
4	90	
4	45	
4	88	
4	99	
4	80	
4	99	
4	9	
4	32	
4	90	
4		43D
4		14PU
4		43
4		29
4		8
4		25
4		43
4		14
4		43G
5		11P
5	99pu	
5	27	
5	14	
5	90	
5	5	
5		12PU
5		27G
6		43P
6	12PU	
6	21	
6	15	
6	6	
6	45	
6	15	
6	12	
6	19TD	
6		14PU
6		8
6		29
6		93to
6		13PU
6		4
6		77
6		'00
6		77
6		13
6		77
6		9
6		77G
7		11P
7	27PU	
7	99	
7	27	
7	90	
7	32	
7	45	
7	32	
7	99	
7	32	
7	90	
7	45G	
8		15P
8	00PU	
8	13	
8	77	
8		7PU
8		15
8		25
8		7
8		15
8		23
8		25
8		15
8		5G
9		61P
9	4PU	
9	1	
9	'00	
9	13	
9	1Gl	
10		43P
10	14pu	
10	99	
10	32	
10	14	
10	90	
10	99	
10	88	
10	14	
10	32G	
11		15P
11	00PU	
11	4	
11	77	
11	4	4F
11	13	
11	'00	
11	4	
11	'00	
11	77	
11	17G	
12		11P
12	27PU	
12	99	
12	27	
12	99	
12	80	
12	90	
12	9	
12	99	
12		10PU
12		12
12		6
12		12
12		27
12	99d	
12	88PU	
12	99	
12	27VTT	
12		10PU
12		29
12		11
12		27
12		5l
12		12
12	99to	
12	99PU	
12	27	
12	45	
12	88	
12	99	93F
12	14	
12	9	
12	45	
12	80G	
13		19P
13	1PU	
13	13	
13	17	
13	11	
13	4	
13	13	
13	4	
13	11	
13	4	
13	1	
13	3	
13	4	
13	1	
13	4	
13	9G	
14		18P
14	27PU	
14	99	
14		27d
14		27PU
14		10
14		12
14		27Gl
15		43P
15	27PU	
15	99	
15	88	
15	90	
15	88	
15	90	
15	9	
15	99	
15		14HB
15		11PU
15		8
15	99PU	
15	90	
15	88	
15	45	
15	9	
15	90	
15	45	
15	9	
15	90	
15	9	
15	27	
15	90	
15	32	
15	90	
15	99G	
16		15P
16	4PU	
16	13	
16	'00	
16	13	
16	1	
16	4	
16	9G	
17		18P
17	27pu	
17	90	
17	27TD	
17		18to
17		1PU
17		17
17	15D	
17	15PU	
17		1D
18		11OBP
18	99PU	
18	9	
18	32	5F
18	27	
18		27D
18		10PU
18		12
18		10
18		29
18		27
18	90PU	
18	88	
18	9	
18	45	
18		11D
18		11PU
18		12
18		27
18		29
18		12
18		27
18		29
18		27
18		10
18		12
18		29
18		6
18		12
18		29
18		5G
19		18P
19	12pu	
19	15	
19	14	
19	1	
19	23	
19	15	
19	23	
19	12	
19	5	
19	12	
19	14	
19	1	
19	23	
19	15	
19	80G	
20		61P
20	13PU	
20	77	
20	'00	
20	4	
20	9	
20	77	
20	17G	
21		11P
21	14PU	
21	99	
21	32	
21	90L	
21		12PU
21		29
21		10
21		6
21		29
21		27G
22		43P
22	15PU	
22	23	
22	1	
22	12	
22	23	
22	14	
22	23	
22	12	
22	14	
22	99	
22	5	
22		14PU
22		18to
22		13pu
22		4
22		1
22		13
22		4
22		1
22		77
22		13
22		'00
22		4
22		'00
22		13
22		1
22		4
22		13
22		4
22		3
22		13G
23		11P
23	80PU	
23	99	
23	14	
23	80	6F
23	99	
23	88	
23	9	
23		12PU
23		10
23	14F	11
23		27
23		5
23		11
23	9D	
23	9so	
23	15si	
23	99PU	
23	14	
23	15	
23	99	
23	14	
23	45	
23	15	
23	99	
23	15	
23	14	
24		61P
24	13PU	
24	4	
24	3	
24		61PU
24		19
24		17
24		61
24		19
24	13pu	
24	3l	
24	9	
24	13	
24	4	
24	17	
24	4	
24	1	
24	4	
24	3	
24	4	
24	13	
24	77G	
25		43P
25	88PU	
25	14	
25	32	
25	88	
25	99	
25	9	
25	99	
25	32	
25		43D
25		18PU
25		28
25		14
25		8
25	14D	
25	99PU	
25	88	
25	45Gl	
26		15P
26	13PU	
26	4	
26	'00	
26	17	
26	11	
26	4	21F
26	'00	
26	13	
26		12PU
26		21
26		25
26		7
26		15VTT
26	13PU	
26	11	
26	17	
26	1G	
27		27P
27	80PU	
27	99	
27	32	
27	99	
27	90	
27	45l	
27	80G	
28		61P
28	13PU	
28	18	
28	17	
28	3	
28	4	
28	13	
28	4	
28	17G	
29		43P
29	99PU	
29	14	
29	99	
29	14	
29	90	
29		11D
29		8PU
29	90PU	
29	14	
29	15	
29	80	
29	99	
29	45Gl	
30		15P
30	00PU	
30	13	
30	9	
30		23PU
30		15
30		1
30		21
30		23
30		1
30		5
30		23
30		1G
31		61P
31	13PU	
31	1	
31	18	
31	8	
31	11	
31	1G	
32		27P
32	14PU	
32	15	
32		12PU
32		10
32		12
32		10
32	5F	12
32		10
32		6
32		29
32	15D	
32	15	
32	5	
32	14	
32	5	
32	15	
32	5l	
32	90	
32		12PU
