point	Offense	Defense
1		1p
1	'00pu	
1	13	
1	1	
1	18	
1	8	
1	1g	
2		43p
2	7pu	
2	27	
2	7	
2	13	
2	14	
2	25	
2	27	
2	25	
2	13	
2	14	
2	7	
2	13	
2	9g	
3		1obp
3	13pu	
3	8	
3	13	
3	1	
3	8	
3	13	
3	64	
3	'00	
3	13	
3	18	
3	9g	
4		43p
4	25pu	
4	13	
4	7	
4	9lg	
5		20p
5	13pu	
5	8	
5	1	
5	9	
5	3	
5	29	
5	13lg	
6		43p
6	25pu	
6	13	
6	25	
6	4	
6	14	
6	27	
6	9l	
6	4g	
7		1p
7	'00PU	
7	13	
7	'00	
7	8	
7	13	
7	9lg	
8		43p
8	20pu	
8	7	
8	27	
8	25	
8	7	10f
8	25	
8	20	
8	7	
8	20	
8	11	
8	14	
8	25	
8	27	
8	11g	
9		28p
9	'00pu	
9	13	
9	9	
9	12	
9	'00	
9	13	
9	29	
9	64g	
10		43p
10	13pu	
10	7	
10	13	
10	7	
10	27	
10	71	
10	13	
10	71	
10	11	
10	7	
10	13	
10	25	
10	14	
10		4d
10		4pu
10		10
10		12
10		27g
11		18p
11	20pu	
11		'00D
11		'00pu
11		8
11		'00
11		8
11		1
11		9g
12		18p
12	13pu	
12	7	
12	27	
12	11	
12	27	
12	7	
12	9	
12		'00pu
12		18
12		29td
12	25pu	
12	7	
12	11	
12	9	
12	11g	
13		1p
13	21pu	
13	4	
13	21l	
13	27g	64f
14		18p
14	25pu	
14	13	
14	7	
14	13	
14	4	
14	25	
14	14	
14	11lg	
15		20p
15	10pu	
15	4	
15	21	
15	17	
15	21	
15	27	
15	43g	
16		18p
16	13pu	
16	7	
16	13	
16	14	
16	7	
16	13	
16	14	
16	13	
16	27	
16	25	
16	7g	
17		1obp
17	4pu	
17	21	
17	10	
17	43	
17	4	21f
17	10	
17	4	
17	17	
17	10	
17	43	
17	21g	
18		18p
18	25pu	
18	7	
18	71	
18	7	
18	27lg	
19		11p
19	21pu	
19	43	
19	4	
19		25d
20		18p
20	13pu	
20	7	
20	13	
20	14	
20	7	
20	13	
20	14	
20	13	
20	7	
20	13	13f
20	7	
20	27	
20	7	
20	27	
20	25	
20	27	
20	14	
20	27	
20	14	
20	7	
20	27	
20	25g	
21		1p
21	4pu	
21	10	
21	4	
21	10	
21	3	
21	43	
21	4	
21	21lg	
22		18p
22	25pu	
22	13	
22	7	
22	13	
22	9	
22	14	
22	13	
22	9	
22	11	
22	27g	
23		20p
23	10pu	
23	4	
23	21	
23	4	
23		64pu
23		20
23		64
23		21
23		28
23		21
23		27g
24		16p
24	'00PU	
24	13	
24	1	
24	29	
24	9	
24	18td	
24		77pu
24		16
24		33
24		2
24		12
24		33
24		77
24		4
24		16
24		2
24		77
24		33
24		22
24		4
24		77
24		2
24	1hb	
24	'00to	
24	4pu	
24	1	
24	4	
24	21	10f
24	27	
24	17	
24	4	
24	4so	
24	8si	
24	8pu	
24	13g	
25		43p
25	13pu	
25	7	
25	13	
25	14	
25	7	
25	27	
25	7	
25	13	
25	25	
25	7	
25	13	
25	14	
25	25	
25	7	
25	9	
25	14	
25	7	
25	13	
25	7	
25	25	
25	27	
25	13	
25	7	
25	13g	
26		1p
26	'00pu	
26	13	
26		2d
26		2pu
26		1
26		21
26		1
26		64
26		21
26		16
26		22
26		2
26	17f	64
26		21
26		64
26		21
26		2
26		16g
27		11p
27	8pu	
27	4	
27	10	
27	4	
27	10	
27	8	
27	10	
27	43	
27	10	
27	9	
27	10	
27	8	
27	4	
27	9lg	
28		18p
28	20pu	
28	7	
28	71	
28	27	
28	9	
28	27	
28	7	
28	9	17f
28		13pu
28		21
28		18
28	9d	
28	9pu	
28	25	
28	20	
28	27	
28	71	
29		1p
29	10pu	
29	4	
29	21	
29		21d
29		64PU
29		21
29		64
29		21
29		2
29		64
29		2g
30		20p
30	'00PU	
30	13	
30	18	
30	1	
30	8g	
31		43p
31	4pu	
31	13	
31	27	
31	14	
31	7	
31	27	
31	14	
31	7	
31		4pu
31		21
31		43
31		21
31		10
31		4
31		43
31		4
31		21lg
32		13p
32	20pu	
