point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	16	P		
1	2			10	PU
1	3			24	
1	4			11	
1	5			25	
1	6			7	
1	7			24	
1	8			7	
1	9			11	
1	10			8	
1	11	25	PU		
1	12	1			
1	13	16			
1	14	1			
1	15			24	PU
1	16			7	
1	17			24	
1	18			10	G
2	1	73	P		
2	2			13	PU
2	3			8	
2	4			13	
2	5			88	
2	6			8	
2	7			88	
2	8			40	
2	9			8	
2	10			13	
2	11			88	
2	12			40	
2	13	3	F		
2	14			8	
2	15			40	
2	16	21	PU		
2	17	3			
2	18	21			
2	19	22			
2	20	73			
2	21	22			
2	22	21			
2	23	2	VTT		
2	24			13	PU
2	25			8	
2	26			24	
2	27			40	
2	28	21	PU		
2	29	73			
2	30	21			
2	31	73			
2	32	21			
2	33			13	PU
2	34			19	
2	35			40	
2	36			88	
2	37	22	D		
2	38	21	PU		
2	39	2			
2	40	73			
2	41	22			
2	42	73			
2	43	3			
2	44	16			
2	45	3	G		
3	1	8	P		
3	2			11	PU
3	3			34	
3	4	8	D		
3	5	11	PU		
3	6	7			
3	7	11			
3	8	8	LG		
4	1	73	P		
4	2			1	PU
4	3			16	
4	4			2	
4	5			85	
4	6			16	
4	7			10	
4	8			16	
4	9			2	
4	10			16	
4	11			1	
4	12			25	
4	13			16	
4	14			85	G
5	1	85	P		
5	2			24	PU
5	3			10	
5	4			11	
5	5			10	
5	6			24	
5	7			7	
5	8			24	
5	9			7	
5	10			24	
5	11			7	
5	12			10	
5	13			7	
5	14			42	
5	15			7	
5	16			42	
5	17			8	
5	18			10	
5	19			11	
5	20			42	
5	21			25	G
6	1	73	P		
6	2			13	PU
6	3			8	
6	4			13	
6	5			40	
6	6			8	
6	7			40	
6	8			6	
6	9			40	
6	10			13	
6	11			6	
6	12			24	
6	13			6	
6	14	5	F		
6	15			40	
6	16	73	PU		
6	17			13	D
6	18			13	PU
6	19	2	F		
6	20			19	
6	21			88	
6	22			8	
6	23			24	
6	24			40	
6	25			8	
6	26			88	LG
7	1	46	P		
7	2			24	PU
7	3			11	
7	4			24	
7	5			25	
7	6			8	
7	7			24	
7	8			11	
7	9			24	
7	10			11	
7	11			10	
7	12			42	
7	13			11	LG
8	1	73	P		
8	2			8	PU
8	3			13	
8	4			8	
8	5			40	L
8	6			6	G
9	1	16	P		
9	2			7	PU
9	3			24	
9	4			10	
9	5			11	
