point	Offense	Defense
1		29P
1	10PU	
1	24	
1	11	
1	42	
1	2	
1	42	
1	10	
1	11	
1	10	
1	11	
1	24	
1	7	
1	42	
1	24	
1	10	
1	11	
1	7	
1	16	
1	2	
1	7	
1	2	
1	24	
1	42	
1	16G	
2		8P
2	'00pu	
2	99	
2	1	
2	'00	
2		8pu
2		21
2		3
2		8
2		17
2		14g
3		8P
3	00pu	
3	1	
3	'00	
3	1	
3	99	
3	'00	
3	5	
3	1	
3	6	
3		8D
3		8PU
3		22
3		4TD
3	1pu	
3	9	
3	1	
3	9	
3	6	
3	9G	
4		29P
4	10pu	
4	24	
4	10	
4	24	
4	10	
4	42	
4	10	
4	24	
4	10	
4	24	
4	10	
4	7	
4	2	
4	24	
4	7	
4	10	
4		29pu
4		12
4		24
4		29
4		2
4		23
4		13
4		29
4	24pu	
4	7	
4		29pu
4		12
4		23
4	42d	
4	42PU	
4	11	
4	16	
4	10	
4	11	
4	10	
4	24to	
4	24pu	
4	7	
4	24	
4	7	
4	24	
4	7	
4	24	
4	7	
4	42	
4	2	
4	24	
4	42	
4	10G	
5		8P
5	'00pu	
5	1	
5	99	
5	35	
5	'00	
5	35L	
5	25TD	
5		22pu
5		3
5		22
5	35pu	
5	99	
5	35	
5	'00	
5	35	
5	5G	
6		29P
6	10pu	
6	24	
6	10L	
6		29pu
6		12
6		29
6		24
6		29
6	6pu	
6	42	
6	2G	
7		8P
7	'00pu	
7	1	
7	6	
7	1	
7	9	
7	1	
7	9	
7	51	
7	99LG	
8		35P
8	42pu	
8	11	
8		23D
8		29pu
8		15
8		12G
9		35P
9	24pu	
10		22P
10	'00pu	
10	1	
10	35	
10	99	17F
10	6	
10	1	
10	'00	
10	35	
10	6	
10	'00	
10	77	
10	'00	
10	6	
10	'00	
10	25	
10	6	
10	25	
10		17d
10		17PU
10		22
10		9
10		25
10		22
10	6F	3
10		21
10	6D	
10	35pu	
10	TO	
10	1pu	
10	99	
10	35	
10	77	
10	5	
10	77	
10	1G	
11		29P
11	24pu	
11	7	
11		12D
11		29pu
11		10L
11		13TD
11	24pu	
11	11	
11	2	
11	11	
11	24	
11	11	
11	7	
11	2	
11	7	
11	11	
11	42	
11	10L	
11		29pu
11		2
11		TO
11		1pu
11		99
11		'00
11		25TD
11	6pu	
11	24	
11	8	
11	42	
11	6	
11	16	
11		6D
11		1pu
11	24pu	
11	9G	
12		8P
12	1pu	
12	35	
12	77	
12	9	
12	51	
12	9	
12	77	
12	9	
12	99	
12	1G	
13		29P
13	24pu	
13	10	
13	73	
13	10	
13	73	
13	10	
13	73	
13	11	
13	42	
13	24	
13	42	
13	7	
13	42	
13	6	
13	24	
13		13D
13		24pu
13		29
13	24pu	
13	11	
13	24	
13	10G	
14		8P
14	1pu	
14	35	
14	1	
14	35	
14	1	
14	99	
14	35	
14	99TD	
14		TO
14		11pu
14		10
14		11
14		42
14		11
14		10
14	24D	
14	29pu	
14	28	
14	23	
14	29	
14	12	
14	15G	
15		35P
15	10pu	
15	24	
15	73L	
15		51D
16		29OBP
16	24PU	
16	10	
16	24	
16	10	
16	11	
16	7	
16	11	
16	10	
16	11	
16	42	
16	2	
16	42	
16	24	
16	7G	
17		8P
17	'00PU	
17	1	
17	99	
17	25	
17	9	
17	25	
17	9	
17	25	
17	99	
17	77G	
18		24P
18	11PU	
18	24	
18	10	
18	6	
18	7	
18	10	
18	11	
18	10	
18	24	
18	42	
18	6	
18	24	
18	10	
18	24	
18	10	
18	7LG	
19		8P
19	1PU	
19	99	
19	1	
19	35	
19	6	
19	35	
19		3D
19		21pu
19		8
19		17
19		21
19		8
19		15
19		21
19		15
19		22
19		25
19		22
19		21
19		8
19		15
19	77D	
19	35pu	
19		25D
19		17pu
19		21
19	1HB	
19	35PU	
19	6	
19	35	
19	'00	
19	35	
19	'00	
19	1	
19	99	
19	6TD	
19		TO
19		11PU
19		24
19		10
19		6
19		42
19		10
19		7
19		6G
20		8P
20	'00pu	
20	1	
20	25	
20	99	
20	'00	
20	77	
20	6	
20	1	
20	'00	
20	1	
20	25	
20	1	
20	25	
20	6	
20	1	
20	99G	
21		24P
21	24PU	
21	11	
21	10	
21	7	
21	10	
21	11	
21	2LG	
22		8P
22	14PU	
22	1	
22	35	
22	99	
22	35	
22	5LG	
23		29P
23	11PU	
23	24	
23	11	
23	7	
23	42	
23	2	
23	7	
23	10	
23	6	
23	24	
23	6	
23	24	
23	11	
23	2	
23	10G	
24		8P
24	25PU	
24	1	
24	6	
24	9LG	
25		29P
25	10PU	
25	24	
25	11	
25	42	
25	7	
25	2	
25	24	
25	42	
25	11	
25	2LG	
26		8P
26	77PU	
26	1	
26	35	25F
26	6LG	
27		29P
27	11PU	
27	24	
27	42	
27	24	
27	11	
27	6	12F
27	24	
27	2LG	
28		8P
28	'00PU	
28	1	
28	'00	
28	77	
28	25	
28	99	
28	0	
28	1	
28	99	
28	6	
28	'00	
28		21PU
28		4
28		21
28		4
29		8P
29	77PU	
29	1	
29	77	
29	'00	
29	1	
29	35	
29	99	
29	77	
29	25LG	
30		29P
30	10PU	
30	24	
30	11	
30	7	
30	11	
30	2	
30	42	
30	10	
30	24	
30	6	
30	24	
30	42	
30	2	
30	24	
30	2	
30	42	
30	11	
30	7	
30	24	
30	7L	
30	42G	
31		8P
31	'00PU	
31	1	
31	25	
31	'00	
31	1	
31	25	
31	1	
31	6	
31	9	
31	'00	
31	1	
31	'00	
31	99	
31	77LG	
32		29P
32	11PU	
32	24	
32	42	
32	24	
32	42	
32	6	
32	24	
32	10	
32	6	
32	24	
32	6	
32	42	
32	10	
32	42	
32	6	
32	24	
32	11	
32	42	
32	7	
32	6	
32	11	
32	24	
32	11	
32	24	
32	42G	
33		8P
33	'00PU	
33	35	
33	5	
33	'00	
33	99	
33	35	
33	'00	
33	6	
33	77	
33	99G	
34		35P
34	11PU	
34	24	
34	11	
34	73	
34	24	
34	7	
34	73	
34	24	
34	7	
34	24	
34	73	
34	24	
34	7	
34	73	
34	7	
34	73	
34	7	
34	42	
34	7	
34	6	
34	73	
34	24	
34	42	
34	24	
34		9D
34		TO
34		35PU
34		1
34		35
34		99
34		35
34		'00
34		35
34		77
34		'00
34		25
34	22D	
34	8PU	
34	6	
34		00D
34		35PU
34		'00
34		35
34		99
34	8D	
34	8PU	
34	2	
34	42	
34	7	
34	6G	
35		7P
35	77PU	
35	35	
35	77	
35	35	
35	51	
35	99	
35	77	
35	35	
35		TO
35		11PU
35		24
35		6
35		24
35		11
35		7
35	9PU	
35	29	
35	35	
35	9	
35	12	
35	9	
35	TO	
35	35PU	
35	9	
35	35	
35	9	
35	'00	
35	9	
35	6	
35		5D
35	00so	5so
35	29si	7si
35		8PU
35		3
35		25
35		17
35		22G
36		8P
36	1PU	
36	77	
36	35	
36	51LG	
37		35P
37	24PU	
37	6	
37		7D
37		28pu
37		35
37		99
