point	Offense	Defense
1		29P
1	5pu	
1	89	
1	5	
1	98	
1	22	
1	89	
1	5	
1	91TD	
1		29PU
1		15
1		4
1		29
1		77
1		24
1		77
1		4
1		29
1		77
1		24
1		77
1		15
1		18G
2		?P
2	91PU	
2	89	
2	91	
2	89	
2	98	
2	72	
2	91	
2	5	
2	89	
2	98LG	
3		8P
3	51PU	
3	1	
3	6	
3	8L	
3	17	
3		11D
3		45PU
3		31
3		8
3		45G
4		8OBP
4	1PU	
4	?	
4	14	
4		81PU
4		33G
5		33P
5	29PU	
5	18	
5	29	
5		18PU
5		13
5		18
5		8
5		14
5		33G
6		49P
6	00PU	
6	6	
6	1	
6	14	
6	1	
6	14	
6	1	
6	'00	81F
6	17	
6	1G	
7		18P
7	5PU	
7	89	
7	5	
7	98	
7	72	
7	10LG	
8		8P
8	00PU	
8	1	
8	14	
8	51	
8	17	
8	14	
8	'00	
8	17	
8	14	
8	6	
8	00F	45PU
8		8
8		37
8		27
8	17PU	
8	'00	
8	1	
8	17	
8	00G	
9		29P
9	91PU	
9	5	
9	98	
9	22	
9	91	
9	89	
9	5	
9	22LG	
10		8P
10	17PU	
10	1	
10	'00	
10	17	
10	1	
10	'00	
10	17	
10		8PU
10		31
10		27VST
10	6PU	
10		24PU
10		24TO
10		91PU
10		5
10		21
10		72
10		5
10		22
10		10
10		91
10		21
10		91
10		22
10		89
10		21
10		91
10		89
10		91
10		89
10		21
10		89
10	29F	91
10		89
10		10G
11		8P
11	00PU	
11	1	
11	6	
11	1	
12		8P
12	1PU	
12	'00	
12	6	
12	'00	
12	1	
12	8	
12	'00	
12	1	
12	'00	
12	17	
12	6TD	
12		45PU
12		8
12		81L
12		27TD
12	17PU	
12	'00	
12	17	
12	51	
12		37pu
12		11
12		37G
13		18P
13	00PU	
13	1	
13	8	
13	17	
13	1	
13	6VTT	
13		18PU
13	00PU	
13	1	
13	6	
13	1	
13	'00	
13	14	
13		13D
13		18PU
13		24
13		18
13		4
13		24
13		13
13		7L
13		24G
14		33P
14	29PU	
14	10	
14	77	
14	?	
14	10	
14	15	
14	23	
14	4	
14	29	
14		33PU
14		49
14		8
14		49
14		37
14		11
14		45G
15		18P
15	00PU	
15	1	
15	6	
15	17	
15	14	
15	1	
15	'00	
15	1	
15	'00	
15	1	
15	14	
15	'00	
15	17	
15	14G	
16		18P
16	89PU	
16	5	
16	21	
16	5	
16	91	
16	89	
16	98	
16	91	
16	5	
16	89	
16	91	
16	21	
16	5	
16	89	
16	22	
16	10	
16	98G	
17		8OBP
17	00PU	
17	1	24F
17	17	
17	1	24F
17	17	
17	8	27F
17	1G	
18		29P
18	5PU	
18	89	
18	21	
18	89	
18	72	
18	10	
18	89	
18	5	
18	21G	
19		33P
19	17PU	
19	1	
19	17	
19	1	
19	'00	
19	6	
19	1	
19	51	
19	17G	
20		18P
20	5PU	
20		29D
20		29PU
20		24G
21		18P
21	89PU	
21	91	
21	89	
21	21	
21	5	
21	21	
21	89LG	
22		8P
22	00PU	
22	1	
22	14	
22	17	
22	14TO	
22	29PU	
22	23	
22	6	
22	51LG	
23		29P
23	5PU	
23	89	
23	5	
23	10	
23	21	
23	22	
23	98	
23	22	
23	21	
23	98G	
24		8P
24	00PU	
24	1	
24	77	11F
24	'00	
24	8	
24	51	
24	'00	
24	77	
24	1	
24	6	
24		24PU
24		31
24		8
24		11L
24	17PU	
24		45PU
24		24
24		11
24		4
24		8
24		27G
25		33P
25	29PU	
25	31	
25	29	?F
25	4	
25	29	
25	23	
25	29	
25	23	
25	18	
25	29	?F
25	18	
25	?F	
25		13PU
25		18
25	?VP	37TO
25		89PU
25		91
25		89
25		21
25		89
25		98
25		91
25		72
25		91
25	29F	21
25		72
25	29PU	
25	18	
25	29	
25	23TD	
25		91PU
25		89
25		5
25		21
25		22G
26		33P
26	00PU	
26	1	
26	77	
26	17	
26	8	
26	'00	
26	6	
26		81PU
26		18
26		13
26		14
26		37LG
27		8P
27	29PU	
27	14	
27	29	
27	4	
27	29	
27	23	
27		24PU
27		4
27		8
27		24
27		31
27		8
27		4G
28		33P
28	17PU	
28	1	
28	17	
28		49PU
28		37
28		7G
29		33P
29	00PU	
29	1	
29	'00	
29	14	
29		14SO
29		8SI
29	'00	
29	14	
29	1	
29	17	
29	8	
29	77	
29	8	
29	1	
29	17	
29	14	
29	51G	
30		8OBP
30	29PU	
30	18	
30	29TD	
30		31PU
30		45
30		27
30		45
30		4G
31		8P
31	00PU	
31	1	
31	14	
31	17	
31	14	
31	8	
31	1	
31	77	
31	14	
31	'00	
31	51	
31	77	
31	1G	
32		29P
32	91PU	
32	98	
32	5	
32	10	
32	91	
32		15D
32		29PU
32		23
32	91D	
32	91PU	
32	89	
32	10	
32	5	
32	72L	
32	98G	
33		33P
33	1PU	
33	17	
33	1	
33	'00	
33	1	
33	17	
33	14	
33	17	
33		13D
33		18PU
33		33
33		81
33		49
33		18
33		13G
34		8P
34	00PU	
34	29	
34	18	
34	29	
34		24PU
34		45
34		24
34		8
34		31
34		8
34		45
34		8
34		27
34		8
34		27
34		31
34		4G
35		33P
35	29PU	
35	10	
35	4	
35	23	
35	29	
35	8	
35	4	
35	10	
35		18PU
35		33L
35		13G
36		8P
36	14PU	
36	1	
36	14	
36	17	
36	1	
36		8D
36		4
36		8
36		24
36		27
36		45
36		24
36		27TD
36	14PU	
36	31	
36	14	
36	23	
36	77	
36	14	
36		45pu
36		27
36		45
36		11G
37		33P
37	29PU	
37	10	
37	29	
37	18	
37	29	
37	18	
37	31	
37		49PU
37		18L
37	4D	
37	29PU	
37	31	
37	15	
37	31	
37	29	
37		49SO
37		5SI
37	4	
37	29	
37	24	
37	29	
37	31LG	
38		29P
38	5PU	
38	91	
38	5	
38	22	
38	5	
38	91	
38	22	
38	89	
38	91	
38	10	
38	89	
38	10	
38	22	
38	5	
38	89G	
39		8P
39	10PU	
39	31	
39	10	
39	4	
39	15	
39	17	
39	4	
39	15	
39	31	
39		45pu
39		31
39		8
39		18
39		27G
40		33P
40	14PU	
40	1	
40	77	
40	1	
40	'00	
40	77	
40	14	
40	18	
40	1G	
41		24P
41	91PU	
41	89	
