point	Offense	Defense
1		61p
1	19pu	
1	89	
1		61pu
1		7
1		5
1		19
1		43
1		19
1		32
1		6
1		7g
2		22p
2	8pu	
2	91	
2	5	
2	10	
2	98	
2	11	
2	5vst	
2	89f	27pu
2		6
2		27
2		4
2		22
2		4
2		25g
3		32p
3	19pu	
3	89	
3	10	
3	89	
3	19	
3	10	23f
3	89	
3	19	
3	11	
3	8	
3	10g	
4		8p
4	88pu	
4	2	
4	90	
4	88	
4	8	
4	9	
4	45	
4	8	
4	88	
4	2	
4	9	
4	2	
4	90g	
5		22p
5	19pu	
5	5	
5	19	
5	5	
5	98	
5	10	
5		1d
5		1pu
5		22
5		17
5		22
5		25
5		21
5		27
5		17g
6		61p
6	19pu	
6	91	
6	62	
6	6	
6	98	
6	10	
6	5	
6	6	
6	10	
6	19	23f
6		32pu
6		23
6		32
6		61
6	?F	32
6		5
6		23
6		61g
7		4p
7	5pu	
7	89	
7	5	
7	89	
7	22	
7	5	
7	89	
7		1d
7		1pu
7		27
7		21g
8		61p
8	91pu	
8	18	
8	98	
8	91	
8	19	
8	91	
8	6l	
8	98g	
9		8p
9	14pu	
9	88	
9	2	
9	88	
9	90	
9	8lg	
10		22p
10	19pu	
10	89	
10	10	
10	91	
10		4d
10		4pu
10		31
10		4
10		6
10		1
10		31lg
11		5p
11	33pu	
12		8p
12	14pu	
12	88	
12	2	
12	45lg	
13		32p
13	91pu	
13	89	
13	91	
13	6	
13	10	
13	98	
13	6	
13	89	
13	91	
13	10td	
13		21pu
13		5
13	91d	
13	19	23f
13	89	
13	19	
13	10	
13	?PU	
13		to
13		2pu
13	11d	
13	4	
13	14	
13	45td	
13		2pu
13		14g
14		22p
14	89pu	
14	19	
14	10	
14	6	
14	91	
14	89	
14	91	
14		17d
14		27pu
14		6
14		25
14		27
14		22td
14	19pu	
14	72	
14	98	
14	6lg	
15		8p
15	88pu	
15	90	
15	2	
15	90	
15	2	
15	90	
15	9	
15	88	
15	45	
15	9	
15		18pu
15		33
15		18
15		24
15		18
15		8
15		11
15	90pu	
15	80l	
15	45	
15	80g	
16		61p
16	89pu	
16	91	
16	6	
16	19	
16	91	
16	89	
16	19	
16	91	
16	10lg	
17		8p
17	14pu	
17	2	
17	88	
17	2	
17	90	
17		45pu
17		8
17	88d	
17	88pu	
17	2	
17	90	
17	88	
17	8	
17	88	
17	45g	
18		22p
18	89pu	
18	91	
18		22d
18		17pu
18		22
18		25
18		4
18		22
18		17
18		4
18		1
18		27
18		1
18		27
18		25g
19		32p
19	5pu	
19	18	
19	5	
19		32pu
19		5
19		42
19		5
19		23
19		32
19		42
19		5
19	18d	
20		22p
20	21pu	
20	89	
20	19	
20	98	
20	11	22f
20	10	
20	89	
20	19	
20	11	
20	6g	
21		8p
21	14pu	
21	2	
21	9l	
21	90g	
22		61p
22	19pu	
22	89	
22	11td	
22		61pu
22		7
22		23
22	6hb	
22	91pu	
22	89	
22	19	
22	10	
22	98	
22	11	
22	19g	
23		8p
23	14pu	
23	88	
23	14	
23	8	
23	88	
23	9g	
24		22p
24	19pu	
24	10	
24	98	
24	11	22f
24	19	
24	91	
24	19g	
25		8p
25	14pu	
25	88	
25	2	
25		4d
25		31
25	88f	24
25		13
25		24
25		45
25		27
25		45
25		13
25		4g
26		8p
26	14pu	
26	2	
26	14	
26	2	
26		18pu
26		81
26		8
26		33
26		37
26		8
26	8so	
26	5si	
26		11
26		18
26		37
26		6
26		11
26		18
26		11g
27		8p
27	81pu	
27	1	
27	22	
27		4
27		24
27		45
27		8
27		31td
27	1pu	
27	22	
27	6	
27	4	
27		4pu
27		24
27		27
27		31
27		8
27		27
27		13g
28		33p
28	14pu	
28	88	
28	14	
28	45	
28	14	
28	88	
28		81pu
28		33
28	90pu	
28	88g	
29		81p
29	89pu	
29	19	
29	11	
29	19td	
29		22pu
29	19hb	
29	91pu	
29	6	
29	19	
29	6	
29	98	
29	91	
29	19g	
30		8p
30	88pu	
30	90	
30		8d
30		8so
30		11si
30		4pu
30		11
30		24
30		11
30		45
30		27
30		11
30		81g
31		8p
31	88pu	
31	14	
31		
31	14	
31	2	
31	27	
31	9	
31	2	
31	14	
31	45	
31	27	
31	14	
31	2g	
32		22p
32	91pu	
32	11	
32	89lg	
