point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	6	P		
1	2			20	PU
1	3			7	
1	4			27	
1	5			7	
1	6			1	TD
1	7	6	PU		
1	8	38			
1	9	5			
1	10	27			
1	11	5			
1	12	13	TD		
1	13			25	PU
1	14			7	
1	15			27	
1	16			7	
1	17			20	
1	18			7	
1	19			9	
1	20			20	L
1	21			25	
1	22			7	G
2	1	16	OBP		
2	2			19	PU
2	3			4	
2	4			19	
2	5			14	
2	6			19	
2	7			50	
2	8			50	SO
2	9			26	SI
2	10			26	PU
2	11			19	
2	12			14	
2	13	11	D		
2	14	11	PU		
2	15	21			
2	16			4	D
2	17			4	PU
2	18			22	F
2	19			14	
2	20			41	L
2	21			14	
2	22			26	VST
2	23	2	PU		
2	24	21			
2	25	6			
2	26	2			
2	27	64			
2	28			19	PU
2	29			4	
2	30			22	
2	31	21	PU		
2	32	64			
2	33	16			
2	34	2			
2	35	64			
2	36			4	PU
2	37			10	
2	38			14	
2	39			10	
2	40			4	
2	41			14	
2	42			4	
2	43			22	
2	44			14	
2	45	16	D		
2	46	2	PU		
2	47	6			
2	48	16			
2	49	31			
2	50	6			
2	51	64	G		
3	1	28	P		
3	2			6	PU
3	3			2	
3	4			47	
3	5			1	
3	6			38	
3	7			33	TD
3	8	33	PU		
3	9	4			
3	10	22			
3	11	12			
3	12	28			
3	13	10	G		
4	1	16	P		
4	2			4	PU
4	3			6	
4	4			22	
4	5			4	
4	6			6	
4	7			44	
4	8			6	
4	9			4	
4	10			41	
4	11			22	
4	12			14	G
5	1	6	P		
5	2			20	PU
5	3			25	
5	4			1	
5	5			25	
5	6			9	
5	7	21	F		
5	8			25	
5	9	6	PU		
5	10	38			
5	11	13			
5	12	10			
5	13	21			
5	14			7	F
5	15	3	G		
6	1	6	OBP		
6	2			2	PU
6	3	3	D		
6	4	6	PU		
6	5	5			
6	6	10			
6	7	5			
6	8	10			
6	9	5			
6	10	47			
6	11	15			
6	12	6	G		
7	1	41	P		
7	2			25	PU
7	3			20	
7	4			25	
7	5			20	
7	6			25	
7	7			20	
8	1	?	P		
8	2			4	PU
8	3			6	
8	4			10	
8	5			2	
8	6			4	
8	7			10	
8	8			22	LG
9	1	27	P		
9	2			25	PU
9	3			20	
9	4			25	
9	5			7	
9	6			9	
9	7			7	
9	8	38	PU		
9	9	27			
9	10	38			
9	11	3	G		
10	1	6	P		
10	2			2	PU
10	3			21	
10	4			71	
10	5	45	D		
10	6	6	PU		
