point	Offense	Defense
1		16OBP
1	20PU	
1	9	
1	20	
1	48LG	
2		35p
2	11PU	
2	5	
2	34	
2	11	
2	23	
2	11	
2		29pu
2		9G
3		35p
3	11PU	
3	5	
3	34	
3	40G	
4		16p
4	1PU	
4	3	
4	20	
4	51	
4	3	
4	6	
4		25pu
4		9
4		16
4		21
4		16
4		9
4		83
4		25TD
4	3pu	
4	18	
4	6G	
5		35P
5	57PU	
5	34	
5	13	
5	40	
5	13	
5	57	
5		28D
5		9pu
5		35
5		21
5		35
5		29
5	34D	
5	23pu	
5	34	
5	5	
5	13	
5	40	
5	23	
5	40	
5	5	
5	34	
5	23	
5	34	
5	23	
5	34G	
6		12p
6	1PU	
6	3	
6	48TD	
6		12pu
6		46
6		12
6		85
6		18
6		12
6		18
6	3D	
6	9pu	
6	20	
6	3	
6	20	
6	3	
6	20TD	
6		17pu
6		12
6		37
6		12
6		18G
7		16p
7	1PU	
7	20	
7	9	
7	20	
7	3	
7	9	
7	1G	
8		35P
8	11PU	
8	34	
8	11	
8	40	
8	24	
8	23	
8	13	
8	34G	
9		12P
9	3PU	
9	17	
9		46D
9		12pu
9		37
9		17
9		18
9		46
9		17
9	3F	18
9		46
9		17TD
9	3pu	
9	20	
9	1	
9	20	
9	3	
9		12pu
9	3pu	
9	20	
9	51	
9	18	
9	17	
9	3	
9	17	
9	3	
9	6	
9	48G	
10		?P
10	88PU	
10	5	
10	88	
10	5	
10		21HB
10		21to
10		3pu
10		9G
11		?P
11	5PU	
11	34	
11	24	
11	11	
11	5	
12		46P
12	35PU	
12	3TD	
12		17pu
12		37
12		17
12		12G
13		16P
13	3PU	
13	17	
13	3	
13	17	
13	35	
13	9	
13	3	
13	9	
13	3	
13	9	
13	17	
13	48	
13	6TD	
13		83pu
13		7
13	3pu	
13	6	
13	48G	
14		?P
14	57PU	
14	5	
14	8	
14	34	
14	8	
14	40	
14	8G	
15		?P
15	1PU	
15	17	
15	3	
15	17	
15	20	
15	3	
15	51TD	
15		83pu
15		21to
15		5pu
15		34
15		5
15		11
15	48D	
15	35pu	
15	28	
15	35	
15	29	
15	13	
15	35	40F
15	9	
15		23pu
15		24L
15		34
15		88G
16		?P
16	20PU	
16	3	
16	20	
16	17	
16	48	
16	17VST	
16		12pu
16		46
16	3pu	
16	17	
16	18	
16	1	
16	18	
16	1	
16	17	
16	20	
16	1	
16	17	
16		12pu
16		18
16		85G
17		16P
17	20PU	
17	17TD	
17		83pu
17		16
17		83TD
17	35pu	
17	9	
17	20	
17	3	
17	6	
17	9LG	
18		35P
18	11PU	
18		35pu
18	23pu	
18	24	
18	23	
18		35D
18		35
18		13TD
18	34pu	
18	24	
18	40	
18	24G	
19		12P
19	1PU	
19	3	
19	6	
19	17G	
20		29P
20	57PU	
20	8	
20	5	
20		9pu
20		28TD
20	34pu	
20	13	
20	40	
20	13	
20	34	
20	8G	
21		16P
21	17PU	
21	20	
21	6	
21	18	
21		21to
21		5pu
21		40TD
21	35pu	
21	9G	
22		35P
22	11PU	
22	88	
22	34	
22	11	
23		46P
23	3PU	12f
23	17	
23	3	12f
23		37d
23		85pu
23		17
23		85
23		10
23		85
23	35pu	
23	3	
23	6	
23		85d
23		17pu
23		85
23		37
23		10G
24		16P
24	17PU	
24	20	
24	17	
24	1	
24	48	
24	1	
24	48G	
25		35p
25	11PU	
25	13	
25		29pu
25		35
25		9
25		35
25		24
25		21
25		29G
26		35P
26	5PU	
26	8	
26	34	
26	5	
26	8	
26	5	
26	8	
26	5	
26	8	
26	40	
26		35pu
26		48LG
27		35P
27	25PU	
27	83	
27	25	
27	7TD	
27		3pu
27		9
27		35
27		29
27		35G
28		?P
28	11PU	
28	34	
28	5	
28	34	
28	88	
28	34	
28	11	
28	5G	
29		46P
29	3PU	
29	20	
29	3	
29	1	
29	17	
29	3TD	
29		17pu
29	15D	
29	20PU	
29	6	
29	1	
29	3	
29	51	
29	3	
29	1	
29	17	
29	15TD	
29		17pu
29	20	
29	51TD	
29		12pu
29		37
29		46
29		17
29		18
29		46
29		12
29		37G
30		16P
30	20PU	
30	3	
30	20	
30	3	
30	9	
30	3	
30	17	
30	20	
30	6	
30	9	
30	6	
30	9	
30	48G	
31		35P
31	88PU	
31	5	
31	88	
31		35D
31		35to
31		3pu
31		18
31		20TD
31	17pu	
31	12	
31	46to	
31	23pu	
31	40	
31	34	
31	23	
31	40	
31	11	
31	5G	
32		12P
32	3PU	
32	20	
32	51	
32		46D
32		12pu
32		18
32		17
32		18
32		12
32		17G
33		25P
33	20PU	
33	1	
33	6	
33	20	
33	17	
33	3	
33		83D
33		83
33		25
33		16
33		2LG
34		18P
34	3PU	
34	9	
34	20	
34	13	
34	3	
34	35VTT	
34		23pu
34		13
35		46p
35	3PU	
35	20	
35	3	
35	9	
35	20	
35	6	
35	3	
35	48	37F
35	35	
35	3	
35		10D
35		12pu
35		18
35		12
35	20D	
35	20	
35	48	
35	35	
35		17pu
35		18
35	6D	
35	3pu	
35	20	
35	9	
35	35	
35	6	
35	35	
35	13	
35	9TD	
35		12pu
35	20pu	
35	9G	
36		?P
36	57PU	
36	5	
36	34	
36	5	
36	34	
36	5	
36	34	
36	5	
36	57	
36	5	
36	34	
36	5	
36	34	
36	5	
36	34	
36	5	
36	34	
36	57	
36	8	
36	5	
36	40	
36	8	
36	34	
36	13	
36	8	
36		3D
36		35pu
36	5HB	
36	40pu	
36		9D
36		9
36		35
36		3
36		17
36		29
36		35
36	23pu	
36	40	17F
36	34	
36	40	
36	34	
36	40	
36	34	
36	40	
36	5TD	
36		17pu
36		29TD
36	23pu	
36	13G	
37		?P
37	3PU	
37		12pu
37		10TD
37	20pu	12F
37	1	
37	6	
37	1	
37	3	
37	6	18F
37		85D
