point	Offense	Defense
1		73P
1	'00pu	
1		7PU
1		73
1		7
1	00PU	
1	21	
1	6	
1	'00	
1	1	
1	'00	
1	77	
1	1	
1	21	
1	'00	
1	6	
1	'00	
1		73PU
1		88
1		42
1		4
1		73
1		88
1	1HB	
1	1PU	
1	21	
1		7PU
1		4
1		42
1		22
1		88
1		22
1		88
1		4
1		88
1		73
1	00PU	
1	1	
1	'00	
1	77	
1	1	
1	6	
1	'00	
1	6	
1	21	
1	'00	
1	TO	
1	00PU	
1	1	
1	21	
1	99	
1	'00	
1	1	
1	77	
1	1	
1	99	
1	5	
1	21LG	
2		?P
2	24PU	
2	21	
2	11	
2	17	
2	21	
2	2	
2	6	
2		24PU
2	11PU	
2	2TD	
2		29PU
2		12G
3		?P
3	10pu	
3	9	
3	15	
3	42	
3		29PU
3		10
3		29
3		23
3		4
3		10
3		15
3		10
3	15PU	
3	20	
3	10	
3	1G	
4		24P
4	1PU	
4		17PU
4		24
4		11
4	21F	24
4		16
4		2L
4		6
4		11G
5		73P
5	00PU	
5	1	
5	77	
5	'00	
5	1	
5	14	
5	99	
5	6	
5	1	
5		88FB
5		88PU
5		73
5	6PU	
5	14	
5	'00	
5	14	
5	6	
5	77	
5	6	
5	14	
5	77	
5	00VTT	
5		88PU
5		5LG
6		24P
6	1PU	
6	29	
6	1	
6	23	
6	29	
6	15	
6	12	
6	23	
6		24PU
7		18P
7	21PU	
7	24	
7	21	
7	17	
7	24	
7	6L	
7	16G	
8		?P
8	00PU	
8	1	
8	99	
8	1	
8	5	
8	21	
8	'00	
8	1	
8	'00	
8	21	
8		20D
8		10PU
8		9
8		42
8		15
8		14LG
9		24P
9	00PU	
9	1	
9	77	
9	23	
9	14	
9	5	
9	77	
9		24PU
9		6
9		24
9		21
9		17
9		21
9		16
9		17
9		24
9		2
9		11
9	00D	
9	00PU	
9		21HB
9		24PU
9		11
9		24
9		6G
10		7P
10	29PU	
10	99	
10		7pu
10		4
10		7
10		5
10		88
10	15D	
10	29PU	
10	99	
10	18	
10	99	
10	24	
10	29	
10	18LG	
11		6P
11	21PU	
11	24	
11	21	
11	17	
11	16	
11		23D
11		29PU
11		6TD
11	11PU	
11	24	
11	11	
11	24	
11	16	
11	21LG	
12		42P
12	14PU	
12	'00	
12	99	
12	'00	
12	14	
12	'00	
12	1	
12	'00	
12	14	
12	99	
12	14	
12	'00	
12	14	
12	'00	
12	14	
12	21	
12	99	
12		10PU
12		20
12		42
12		15
12		10
12		14
12	00PU	
12	21	
12	'00	
12	21	
12	14	
12	77	9F
12	14	
12	99	
12	14	
12	99	
12	77	
12	99	10F
12		1PU
12		TO
12		11PU
12		21
12		2
12		6
12		11
12		21LG
13		73P
13	00PU	
13	1	
13	21	
13	77	
13	99	
13	1G	
14		73P
14	00PU	
14	1	
14	5	
14	1	
14	21	
14	1	
14	99LG	
15		21P
15	21PU	
15	24	
15	21	
15	24	
15	16	
15	24	
15	17	
15	6	
15	21	
15	6	
15	16	
15	2	
15		12D
15		29PU
15		12
15		29
15		2
15		29
15	2D	
15	21PU	
15	24	
15	11	
15	6	
15	11	29F
15	6	
15	16	
15	11	
15	16	
15		29PU
15		23L
15		2
15		24G
16		6P
16	1PU	
16	73	
16	88	
16	7	
16	73TD	
16		1PU
16		'00
16		1
16		99
16		21
16		5
16		21
16		'00
16	73F	77
16		99G
17		4P
17	21PU	
17	11	
17	7	
17	24	
17		4D
17		29PU
17	24PU	
17	21	
17	7	
17	2	
17	24	
17	7	
17	24	
17	7	
17	24	
17	7	
17	24	18F
17		18FB
17		29PU
17		23
17		4
17		29
17		15
17		29
17	11PU	
17	21	
17	TO	
17	11PU	
17	21	
17	2	
17	10	
17	21	
17		29PU
17		4TD
17	7PU	
17	10	
17	7	
17	11	
17	10	
17	11	
17	10	
17	6G	
18		88P
18	88PU	
18	1	
18	5	
18	21	
18	1	
18	21	
18	5L	
18	6	
18	99	
18	77G	
19		29P
19	11PU	
19	10	
19	11	
19	2TD	
19		29PU
19	6pu	
19	7	
19	10	
19	7	
19	10	
19		TO
19		14PU
19		1
19		'00
19		5
19		77
19		14
19		1
19		77
19		99G
20		6P
20	24PU	
20	88	
20	24	
20	22	
20	5LG	
21		88P
21	6PU	
21		22pu
21		24
21		22
21		24
22		29P
22	24PU	
22	10	
22	11	
22	10	
22	2	
22	42	
22	10	
22	11	
22	7	
22	42	24F
22	10	
22	42	
22	24	
22	10	
22	42	
22	10	
22	7	
22	6	
22	10	
22	7G	
23		88P
23	00PU	
23	1	
23	6	
23	'00	
23	1	
23	'00	
23	1	
23	99	
23	77	
23	99	
23	6	
23	1	
23	21	
23	'00	
23	77	
23		88pu
23		9
23		88
23		9
23		4
23		21
23		17
23		21
23		88
23		9
23		5
23		9
23		88
23	00PU	
23	TO	
23	21PU	
23	'00	
23	1	
23	'00	
23		88PU
23		5G
24		42P
24	1PU	
24	6	
24	1	
24	77	
24	21	
24	99G	
25		24P
25	88PU	
25	7	
25	1	
25	73	
25	88	
25	21	
25	88	
25	7	
25	88	
25	21	
25	1	
25	21	
25	88	
25		4D
25		29PU
25		4
25		24
25		29
25		2
25		18
25		23
25	21PU	
25	73	
25	5F	29PU
25		23
25		24G
26		6P
26	24PU	
26	6	
26	24	
26	11	
26	2	
26	11	
26	6	
26	11	
26	24	
26	7	
26		23D
26		29PU
26		23
26		12
26		99LG
27		1P
27	88PU	
27	10	
27	22	
27	10	
27	17	
27	42	
27	21	
27	42	
27	88G	
28		88P
28	6PU	
28		22PU
28		21
28		22
28		42
28		21
28		7
28		21
28		22
28		TO
28		24PU
28		10
28		24
28		10
28		7
28		24
28		7
28		11
28		10
28		11
28		24
28		11
28		10
28		24
28		10
28		24
28		10
28		24
28	12PU	
