point	Offense	Defense
1		61p
1	4pu	
1	13	
1	21	
1	'00	
1	1	
1	'00	
1	77	
1	'00	
1	21	
1	13	
1	1	
1	17	
1	21	
1	'00	
1	4	
1	13	
1	1	
1	'00g	
2		11p
2	88pu	
2	99	
2	90	
2	99	
2	90	
2	99	
2	45	
2	8	
2	9	
2	45g	
3		22p
3	13pu	
3	4	
3	21l	
3	77g	
4		43p
4	88pu	
4	99	
4	8	
4	99	
4	8	
4	99	
4	88l	
4	8g	
5		61p
5	'00pu	
5	13	
5	1	
5	21	
5	1	
5	21	
5	'00	
5	1	
5	'00	
5	77	
5	17g	
6		7p
6	88pu	
6	99	
6	27	
6	32	
6		12pu
6		11
6	99pu	
6	88	
6	27	
6	8	
6	80	
6	8	
6	9	
6	8	
6	27	
6	99	
6	27	
6	8	
6	99	
6	8	
6	88	
6	99	14f
6	32g	
7		22p
7	'00pu	
7	4	
7	3	
7	21	
7	13	
7	21	
7	4	
7	'00	
7	13gl	
8		43p
8	8pu	
8	99	
8	90	
8	45	
8	8	
8	80gl	
9		61p
9	13pu	
9	4	
9		21d
9		12pu
9		5
9		61
9		17
9		24
9		61
9		12l
9		5
9		12
9		17
9		6g
10		22p
10	4pu	
10	21f	
10		27pu
10		31
10		27
10		31
10	21d	
10	21	
10	7	
10	21gl	
11		11p
11	90pu	
11	45	
11	99	
11	9	
11	32	
11	8	
11	99	
11	45	
11	9	
11	99	
11	32g	
12		61p
12	'00pu	
12	4	
12	17	
12	1	
12	13	
12	'00	
12	1	
12	4	
12	13	
12	4	
12	1	
12	21g	
13		43p
13	88pu	
13	8	
13	88	
13	99	
13	45	
13	90	
13	8	
13	99	
13	88	
13		5d
13		43pu
13	8d	
13	99pu	
13	90	
13	80	
13	8	
13	99	
13	8	
13	90	
13	8	64f
13	99	
13	88	
13	90l	
13	90so	
13	32si	
13	2	
13	99g	
14		22p
14	'00pu	
14	13	
14	77	
14	4	
14	'00	
14	21	
14	77lg	
15		11p
15	99pu	
15	2	
15	8	
15	45	
15	32	25f
15	2	
15	80	
15	8td	
15		14pu
15		28
15	32d	
15	88PU	
15	8	
15	99g	
16		61p
16	'00pu	
16	4	
16	'00	
16	1	
16	21	
16	'00	
16	21	
16	'00	
16	1	
16		24d
16		12pu
16		5
16		12
16	21pu	
16	4	
16		5d
16		61TO
16		99pu
16		90
16		45gl
17		22p
17	'00pu	
17	13	
17	3	
17	'00	
17	21	
17	1	
17	21td	
17		27pu
17		22
17		25
17	13pu	
17	77	
17	1	
17	3g	
18		11p
18	2pu	
18	99	
18	2	
18	90	
18	2	
18	90	
18		25d
18		13pu
18		1
18		13
18		17
18		1
18		13
18		21
18		17
18		21
18		4
18		13
18		77
18		4
18		13
18		21
18		13
18		21g
19		43p
19	32pu	
19	99	
19	32	
19	88	
19	8	
19	2	
19		43pu
19		7
19	32pu	
19	8	
19	32	
19	99	
