point	Offense	Defense
1		12P
1	41PU	
1	19	
1	41	
1	14	
1	47	
1	41	
1	18	
1	4	
1	19	
1	14	
1	19	
1	18	
1	19	
1	47	
1		25PU
1	19PU	
1	4	
1	19	
1	18TD	
1		12PU
1		5
1		31
1		3
1		12
1		4
1		5
1		12
1		3
1		5TD
1	19PU	
1	4	
1	47	
1	33	
1	19	
1	47	
1	19	
1	41	
1	33	
1	14	
1	41	
1		3PU
1		5
1		31
1		5
1		25
1		4
1		25vtt
1	19PU	
1	41	
1	4	
1	41	
1	18	
1	41vtt	
1		5PU
1		4
1		3
1		12LG
2		22P
2	26PU	
2	41	
2	14	
2	4	
2	1	
2	81	
2	14	
2	4	1F
2	26	
2	4	
2	26	
2	47	
2		22d
2		22pu
2		1
2		27
2		22
2		24
2		22
2		27
2		21
2		24G
3		12P
3	13PU	
3	10	
3	21	
3	13	
3	10	
3	24	
3	10	
3	5	
3	13G	
4		13P
4	8PU	
4	88	
4	45	
4	8	
4	2	
4	99	
4	88	
4	9	
4	99	
4	9	
4	8G	
5		22P
5	26PU	
5	19	
5	4	
5	26	
5	41	
5	14	
5	4	
5	14	
5	4	
5	19	
5	41LG	
6		13P
6	2PU	
6	99	
6	8	
6	45	
6	88	
6		82D
6		82PU
6		21
6		10
6		21
6		82G
7		27P
7	14PU	
7	2	
7	14	
7	8	
7	45	
7	90	
7	14LG	
8		12P
8	4PU	
8	19	
8	4	
8	1	
8	33	
8	41	
8	4	3F
8	41TD	
8		12PU
8		3
8		12
8		5
8		3
8		12
8		7
8		42
8		25
8		12
8		3
8		5
8		31
9		21P
9	14PU	
9	99	
9	9L	
9	99	
9	14	
9	99G	
10		21P
10	4PU	
10	19	
10		17D
10		20PU
10		27
10		20
10		17
10		24G
11		12P
11	27PU	
11	4	
11		42D
11		42PU
11		4
11		5
11		12G
12		22P
12	15PU	
12	24	
12	10	
12	15	
12	82	
12		22D
12		6PU
12	82PU	17F
12		22PU
12		6G
13		12P
13	4PU	
13	19	
13		4D
13		4PU
13		3
13		25
13		4G
14		22P
14	26PU	
14	4	
14	14	
14	41	
14	26	
14	4	
14	1TD	
14		22PU
14	4D	
14	47PU	
14	4	
14		22D
14		TO
14		99PU
14		2
14	13D	
14	21pu	
14		99PU
14		14
14		2
14		9LG
15		12P
15	4PU	
15	19	
15	14LG	
16		13P
16	14PU	
16	99	
16	14	
16	32	
16	14	
16	32	
16	90G	
17		22P
17	47PU	
17	4	
17	26	
17		20PU
17		1TD
17	4PU	
17	26	
17	33	
17	47	
17	26	
17	14	
17	1	
17	33	
17	4G	
18		13P
18	14PU	
18	2	
18	88	
18	2	
18		10D
18		5PU
18		27
18		10
18	8PU	
18	14	
18	32	
18	2	
18	9	
18	8	
18	88TD	
18		5PU
18		27
18	14D	
18	8PU	
18	32	
18	14	
18	82	
18	90	
18	2	
18	8	
18	9G	
19		12P
19	4PU	
19	19	
19	47	
19	14	
19	4LG	
20		27P
20	2PU	
20	88	
20	2	
20	90	
20		5PU
20		24
20		5
20		10
20		21
20		15
20		4TD
20	90PU	
20	8	
20	90	
20	45LG	
21		22P
21	26PU	
21	19	
21	41LG	
22		13P
22	14PU	
22	2	
22	99	
22		TO
22		4PU
22		19
22		14
22		18
22		19
22		14
22	3PU	
22	5	
22	3	
22	31	
22	25	
22	7	
22	25G	
23		20P
23	41PU	
23		21D
24		22P
24	4PU	
24	19	
24	41	
24	4	
24	13	
24	4	
24	41	
24	13LG	
25		18P
25	2PU	
25	99	
25	88	
25	8	
25	99	
25	2	
25	88	
25	90	
25	9LG	
26		12P
26	4PU	
26	19	
26	41	
26	4	
26	47	
26	41	
26	13G	
27		27P
27	88PU	
27	99	
27	2	
27	8	
27	9	
27	88	
27	2	
27	45	
27	99	
27	9G	
28		22P
28	4PU	
28	19	
28		24D
28		27PU
28		17
28		21
28		22
28		1
28		21
28		1
28		21
28		1
28		27
28		22G
29		12P
29	24PU	
29	10	
29	14	
29	21	
29	8TD	
29		12PU
29		42
