point	Offense	Defense
1		16p
1	10pu	
1	24	
1	11	
1	25	
1	7	
1	24	
1	7	
1	11	
1	8	
1		25pu
1		1
1		16
1		1
1	24pu	
1	7	
1	24	
1	10g	
2		73p
2	13pu	
2	8	
2	13	
2	88	
2	8	
2	88	
2	40	
2	8	
2	13	
2	88	
2	40	3f
2	8	
2	40	
2		21pu
2		3
2		21
2		22
2		73
2		22
2		21
2		2vtt
2	13pu	
2	8	
2	24	
2	40	
2		21pu
2		73
2		21
2		73
2		21
2	13pu	
2	19	
2	40	
2	88	
2		22d
2		21pu
2		2
2		73
2		22
2		73
2		3
2		16
2		3g
3		8p
3	11pu	
3	34	
3		8d
3		11pu
3		7
3		11
3		8lg
4		73p
4	1pu	
4	16	
4	2	
4	85	
4	16	
4	10	
4	16	
4	2	
4	16	
4	1	
4	25	
4	16	
4	85g	
5		85p
5	24pu	
5	10	
5	11	
5	10	
5	24	
5	7	
5	24	
5	7	
5	24	
5	7	
5	10	
5	7	
5	42	
5	7	
5	42	
5	8	
5	10	
5	11	
5	42	
5	25g	
6		73p
6	13pu	
6	8	
6	13	
6	40	
6	8	
6	40	
6	6	
6	40	
6	13	
6	6	
6	24	
6	6	5f
6	40	
6		73pu
6	13d	
6	13pu	2f
6	19	
6	88	
6	8	
6	24	
6	40	
6	8	
6	88lg	
7		46p
7	24pu	
7	11	
7	24	
7	25	
7	8	
7	24	
7	11	
7	24	
7	11	
7	10	
7	42	
7	11lg	
8		73p
8	8pu	
8	13	
8	8	
8	40l	
8	6g	
9		16p
9	7pu	
9	24	
9	10	
9	11	
9	10	
9	7	
9	24	
9	7	
9	24	
9	42	
9	7	
9	8	
9	7	
10		73p
10	13pu	
10	88	
10	34	
10	11	
10	13	
10	34l	
10	88g	
11		46p
11	7pu	
11	24	
11	7	2f
11	25	
11	24	
11	42	
11	24	
11	7	
11	42	
11	8	
11	25	
11	42	9f
11	7	
11	8	
11	11	
11	7	
11	8	
11	7	
11	24	
11	8	
11	11g	
12		73p
12	40pu	
12	13	
12	40	
12	6	
12	13	
12	19	
12	40	
12		21pu
12		73
12		21
12	19d	
12	13pu	
12	40	
12	6	
12	13	
12	40	
12	8	
12	40	
12	13	
12	40	
12	88g	
13		16p
13	10pu	
13	24	
13	11	
13	10	
13	11	
13	25	
13	10	
13	24	
13	42	
13	8	
13	24	
13	25	
13		25d
13		1pu
13	8d	
13	24pu	
13	7	
13	11	
13	8	
13	11	
13	8	
13	11	
13	24	
13	42g	
14		73p
14	13pu	
14	11	
14	13	
14	23	
14	34	
14	6	
14	11	
14	88td	
14		21pu
14		22
14		73
14		22
14		3
14		7to
14		24
14	85d	
14	16pu	
14	25	
14	16	
14	1	
14	2l	
14	46	
14	2g	
15		34p
15	11pu	
15	24	
15	73	
15	24	
15	25	
15	73	
15	25	
15	8	
15	11	
15	25	
15		7d
15		17pu
15		to
15		8pu
15		88
15		19
15		13
15		6td
15	21pu	
15	2	
15	21	
15		88pu
15		8
15		24
15	21pu	
15	22	
15	8	
15	2	
15	8	
15	42	
15	22	
15	2	
15	21	
15	22	
15	42	
15	21	
15	42	
15	8	
15	21	
15	22	
15	9	
15	22g	
16		7p
16	1pu	
16	16	
16	2	
16	25	
16	2	
16	1	
16	25	
16	16	
16	10	
16		15d
16		21pu
16		to
16		21pu
16		7
16		25
16		21
16	23pu	
16	13l	
16	to	
16	23pu	
16	8	
17		16p
17	7pu	
17	24	
17	10	
17	24	
17	10	
17	24	
17	8	
17	42	
17	8	
17	7	
17	25	
17	10	
17	42	85f
17	10	
17	24	2f
17	25g	
18		73p
18	8pu	
18	13	
18	34	
18	40	
18		73pu
18	6d	
18	34pu	
18	13	
18	34	
18	23	
18		22pu
18		3
18		5
18		2
18		73
18		3
18		21vst
18	13pu	
18		21pu
18		73
18		21
18	23d	
18	13pu	
18	8	
18	34	
18	8	
18	34	
18	6	
18	8	
18	23	
18	8	
18		22pu
18		2
18		16g
19		8p
19	17pu	
19	11	
19	6	
19	19	
19	24	
19	13	
19	6g	
20		85p
20	22pu	
20	21	
20	42	
20	22	
20	73	
20	21	
20	16	
20	42g	
21		8p
21	8pu	
21	13	
21	34	
21		24pu
21		42
21		10
21	6d	
21	6pu	
21	8	
21	40	
21		24d
21		24pu
21		8
21		10
21		7
21		25
21		7
21		22
21		10
21		42
21		7
21		24
21		25
21		42
21		11
21		8
21		7
21		24
21		11
21		8g
22		73p
22	1pu	
22	16	21f
22	1	
22	46	
22	16	
22	10	
22	16td	
22		21pu
22		73
22		2
22		21
22		16
22		2td
22	16pu	
22	25	
22	1	
22	46	
22	10	
22	16	
22		5pu
22		73
22		16l
22		21td
22	16pu	
22	13	
22	1	
22	85	
22	16	
22	13	
22		16d
23		73p
23	13pu	
23	8	
23	23td	
23		73pu
23		21
23		22
23		73
23		17
23		16
23		73
23		2
23	40pu	
23	6	
23	34	
23	40g	
24		16p
24	24pu	
24	42td	
24		16pu
24		85
24		46
24		16
24		25
24		46g
25		34p
25	24pu	
25	10	
25	7lg	
26		8p
26	8pu	
26	23	
26	40lg	
27		85p
27	73pu	
27	15	
27	2	
27	15	25f
27	22	
27	73	
27	15	
27	21	
27	22g	
28		8p
28	40pu	
28	8	
28	34	
28	8	
28	6	
28	88	
28	8	
28	6	
28	34	
28	13	
28	88	
28	8	
28	40	
28	6	
28	13	73f
28	40	
28	34g	
29		16p
29	21pu	
29	10	
29	16	
29	10	
29		1pu
29		2
29		25
29		46
29		to
29		23pu
29	3d	
29	21pu	
29	15	
29	16	
29	17	
29	15	
29	21	
29	16lg	
30		8p
30	8pu	
30	13	
30	34	
30	88	
30	8lg	
31		16p
31	73pu	
31	21	
31	73	
31	15	
31		16pu
31		25
31		16
31	3PU	
31	73	
31	3	
31	73	
31	17g	
32		8p
32	16pu	
32	46	
32	16td	
32		24pu
32		10
32		8td
32	16pu	
32	2	
32	7	
32	46	
32	2	
32	9	
32		25hb
32		24pu
32		42
32		25
32		24
32		42
32		8
32		11
32		7
32		24
32		10
32		24
32		25
32		11
32		42
32		11
32		7
32		8g
33		73p
33	13pu	
33	11	
33	13	
33	6	
33	11	
33	88	
33	6	
33	22	
33	to	
33	13pu	
33	19	
33	6	
33	23	
33	24	
33	13	
33	6	
33	23	
33	24	
33	19	
33		2d
33		3pu
33		73
33		22
33		73
33		21
33	23pu	2f
33	11	
33	23	
33	6	
33	11	
33	6td	
33		21pu
33	23d	
