point	Offense	Defense
1		8P
1	34PU	
1	83	
1	34	
1		27D
1		45PU
1		8
1	34hb	
1	83PU	
1	24	
1	23td	
1		81pu
1		27
1		24
1		81
1		45
1		27
1		24
1		39
1		81G
2		33P
2	5PU	
2	8	
2	34	
2	3G	
3		46P
3	89PU	
3	5	
3	22	
3	21	
3	98	
3		16pu
3		85
3		17TD
3	5pu	
3	22	
3	91G	
4		8P
4	88PU	
4	1	
4		8D
4		8
4	13PU	
4	11TD	
4		24PU
4		81
4		8
4		27
4		45
4		39TD
4	34PU	
4	13	
4	34	
4	88	
4	34	
4		27D
4		24pu
4		8VTT
4	34PU	
4	88	
4		8to
4		91PU
4		98l
4		19
4		89
4		72
4		89
4		21
4		72G
5		8P
5	5pu	
5	34	
5		75PU
5		8
5		24
5		4L
5		8
5		14G
6		33P
6	25PU	
6	46	
6	25	
6	85	
6	2	
6	25	
6	46	
6	25	
6	17	
6	85	
6	1G	
7		16P
7	5PU	
7	89	
7	22	
7	21	
7	72TD	
7		16pu
7		85
7		1
7		7
7	22D	
7	21PU	
7	21	
7		16PU
7		25
7		16TO
7		83PU
7		88
7		34
7	39F	8
7		24
7		8
7		24G
8		16p
8	91PU	
8	5	
8	91	
8	22	
8	10TD	
8		16PU
8		85
8	10D	
8	91PU	
8	5	
8	98	
8	10	
8	21	
8	19LG	
9		8P
9	83PU	
9	88	
9		13D
9		11pu
10		46P
10	91PU	
10	5	
10	91	
10		7pu
10		7vtt
10	89PU	
10	98G	
11		8OBP
11	83PU	
11	8	
11	34	
11	8	
11	34	
11		8D
11		8PU
11		45
11		81
11		45
11		8
11		31
11		81
11		8
11		45
11		39
11		81
11		45
11		8
11		27G
12		33OBP
12	16PU	
12		4d
12		75PU
12		14
12		13
12		11
12		33
12		75
12		13
12		14TD
12	16pu	
12	17	18F
12	18	
12	1	
12	46	
12	1	
12	37	
12	1	
12	18	
12	1	75F
12	18	
12	16	
12	37	
12	18	
12	16	
12	17TD	
12		14to
12		91PU
12		89
12	25F	91
12	7F	89
12		21
12		10
12		98G
13		8P
13	83PU	
13	13	
13	83	
13	13	
13	34	
13	83	
13	21	
13	88	
13	83	
13	88	
13	34	
13	83	
13	88	
13	83	4F
13	34PU	
13	34VST	
13		45PU
13		31
13		8L
13		4
13		27G
14		33P
14	11PU	
14	17	
14	21	39F
14	37	
14	3	
14		18D
14		81PU
14		11
14	17PU	
14	11f	
14		81PU
14		14
14		39
14		14
14		11
14		39G
15		8P
15	17pu	
15	83	
15	88	
15	8	
15	34LG	
16		16P
16	19PU	
16	5	
16	22	
16	5	
16	89	
16	19	
16	5	
16	98L	
16	89G	
17		8P
17	83PU	
17	11	
17	34	
17	11	
17	34	
17	11	
17		8D
18		8P
18	57PU	
18	83	
18	57	
18		8PU
18		45
18		11L
18		81G
19		33P
19	25PU	
19	17	
19	25	
19	2L	
19		13D
19		13PU
19		75
19		37VTT
19	1PU	
19	37G	
20		16P
20	89PU	
20	5	
20	89	
20	91	
20	89	
20	5	
20	98	
20	72	
20	98G	
21		8P
21	13PU	
21	34	
21	21	
21	34	
21	8	
21	88	
21	8	
21	13	
21	21	
21		45PU
21		45VTT
21	34PU	
21	21G	
22		16OBP
22	5PU	
22	19	
22	5TD	
22		17PU
22		37
22		46VTT
22	89PU	
22	19	18F
22	10	
22	22TD	
22		16PU
22		16VST
22	89PU	
22	22	18F
22	89	
22	98G	
23		33P
23	34PU	
23	24L	11F
23	8	
23	57G	
24		16P
24	91PU	
24	5	
24	91	
24	10	
24	98	
24	21	
24	5	
24	72G	
25		8P
25	11PU	
25	57	
25	83	
25	24	
25	83	
25	21	
25	83	
25	57	
25	83	
25	21	31F
25	3	
25	83G	
26		46P
26	91PU	
26	5	
26	10	
26	98LG	
27		33P
27	57pu	
27	83	
27		18pu
27		37
27		18
27		11
27		33G
28		8OBP
28	17PU	
28	25	
28	37	
28	25	
28	46TD	
28		45PU
28		6
28		45
28		31
28		27
28		6
28		45G
29		33P
29	11PU	
29	88	
29	11	
29	21	
29	11	
29	3	
29	11	
29	13	
29	34G	
30		1P
30	19PU	
30	5	
30		2pu
30		85
30		1
30		11
30		18
30		1
30		18
30		2
30	91F	25
30		17
30	5PU	
30		18D
30		18pu
30		37G
31		8P
31	5PU	
31	91	
31	22	
31	8	
32		46P
32	91PU	
32	89	
32	22	
32	21	
32	98	
32	5	
32	91	
32	89	
32	98	
32	91	
32	21	
32	98G	
33		8P
33	57PU	
33	83	
33	8	
33		39D
33		39SO
33		22SI
33		81PU
33		8td
33	3pu	
33	34	
33	83G	
34		46P
34	19pu	
34	91	
34	98	
34	91	
34	89	
34	19	
34	21	
34	98	
34	10LG	
35		33P
35	13PU	
35	88	
35	13	
35	11	
35	8	
35		11D
35	21F	11PU
35		11VST
35	34PU	
35	8	
35	88	
35	21	
35	34G	
36		46OBP
36	89PU	
36	19	
36	22	
36	98	
36	72LG	
37		8P
37	57PU	
37	83	
37	34L	
37	88	
37	8	
37	34	
37	8	
37	34	
37	88G	
38		34P
38	19PU	
38	89	
38	21	
38	91	
38	19	
38	91	
38	89	
38	10LG	
39		33P
39	11PU	
39		14D
39		6PU
39		11
39		14G
40		8P
40	13pu	
40	88	
40	8	
40	88	
40	13	
40	83	
40	3L	
40	3TO	
40	8PU	
40	88G	
41		46P
41	19PU	
41	5	
41	21	
41	98LG	
42		33P
42	57PU	
42	83	
42	3	
42	8	
42	88TD	
42		33PU
42		4
42		11
42		8
42		33
42		37
42		14
42		37
42		18
42		8
42		37
42		14
42		4
42		14
42		8
42		37
42		18G
43		6P
43	1PU	
43	17	
43	1	
43	85	
43		39D
43		39PU
43		45
43		6
43		31L
43		45TD
43	17PU	
43	1	
43	46TD	
43		75PU
43		27G
44		33P
44	83PU	
44	57	
44	83	
44	21	
44	24	
44	83	
44	11	
44	57	
44	83	
44	21G	
45		46P
45	19PU	
45	89	
45	19	
45		25PU
45		1
45		25
45		85
45		17
45		25
45		2
45		25
45	98PU	
45	89	
45	19	
